,subred,title,text
18,todayilearned,"TIL about an actual ""Sleeping Beauty"" in that there's a 99 year old (100 this coming December) perfectly preserved body of a 1 year old, named Rosalia Lombardo. She died of Pneumonia in 1920 &amp; filled with grief, her father enlisted Alfredo Salafia to embalm her body so she can be preserved forever.",
19,todayilearned,"TIL that the English Crown, fearing the potential devaluation of gold, should the philosopher's stone actually be discovered, made penalties for alchemy very severe. In some cases the punishment for unsanctioned alchemy would include the public hanging of an offender on a gilded scaffold.",
20,todayilearned,"TIL that Italian is often the second language of most older native Italians, and while the locals are said to speak different, they actually predate modern Italian which became the national language in 1861. The “dialects” are often so different that locals can’t understand the other dialects",
21,todayilearned,"TIL the art of Rap Battles (poetic verbal abuse) was first recorded in 15th century Scotland and called Flyting. Although contestants attacked each other spiritedly, they actually had a professional respect for their rival’s vocabulary of invective and would often drink with the loser afterwards.",
22,todayilearned,"TIL that in 1978, an inspection of a damaged U.S. Navy ship revealed the remnants of claws from the tentacles of a giant squid. The claws were much larger than any that had been seen by scientists, indicating that the squid was of a size substantially greater than any that had been documented.",
23,todayilearned,"TIL that spiders can fly through still air for miles using earth's electric fields. The process is initiated by ""Trichobothria"", a particular kind of hair growing amidst many others on spider's bodies.",
24,todayilearned,"TIL Having two small children means on average someone is sick in a household 29 weeks out of the year, meaning the household has a sickness more often than it is healthy.",
25,todayilearned,"TIL while traveling Marco Polo heard stories of a giant bird living in Madagascar. He assumed the giant bird was Roc the legendary eagle from Middle Eastern mythology. Many centuries later, bones and eggs discovered on the island proved that giant ostrich like birds once lived in Madagascar.",
26,todayilearned,"TIL that the word “soybean” is named after soy sauce, not the other way around.",
27,todayilearned,"TIL, ""Friends"" deleted a scene about joking with bombs at an airport, that was supposed to air two weeks after 9/11.",
28,todayilearned,TIL Project Orion was an interstellar spaceship concept that the U.S. calculated could reach 5% the speed of light by shooting atomic bombs of Hiroshima/Nagasaki power out the back. Carl Sagan later said such an engine also would be a great way to dispose of humanity's nukes.,
29,todayilearned,TIL Disney cut a post-credits 'casting couch' reference scene (between the Prospector and two Barbie dolls) from Toy Story 2 when they re-released the DVD in 2019 alongside the theatrical release of Toy Story 4.,
30,todayilearned,"TIL the line of thinking 'If I Can't Have It, Neither Can You' is called 'Crab Mentality' because when a crab in a bucket is trying to escape, the others will pull it down",
31,todayilearned,"TIL when a 36-year-old Indian man who had been teased his entire life for looking pregnant got the condition checked out, the doctors ended up pulling out hair, hands, bones &amp; limbs of the man’s twin brother—who had been trapped in his twin as a fetus &amp; continued to grow post-birth—from his stomach.",
32,todayilearned,"TIL of Jean-Dominique Bauby, a man who had a stroke at 43 years old and after a 20-day coma, awoke to find that he was almost fully paralyzed; he could only use his left eyelid. He wrote a memoir, by blinking when the correct letter was said by a person reciting the alphabet over and over again.",
33,todayilearned,"TIL there are twin astronauts, Mark and Scott Kelly, born on February 21 1964. Scott spent 340 days in the International Space Station. During and after Scott's year-long mission, the brothers were studied to find physical differences caused by living in space versus a baseline on Earth.",
34,todayilearned,"TIL Before 1995, anyone who wanted a domain name could register it FREE OF CHARGE. That all changed when the National Science Foundation awarded tech consulting company Network Solutions the ability to charge for registration. Domain prices began at $100 for a two-year registration.",
35,todayilearned,"TIL that Matthew Perry was addicted to painkillers, and revealed that due to his addiction, he doesn't remember filming seasons 3 to 6 of Friends",
36,todayilearned,"TIL about the Black Sapote or Chocolate Pudding Fruit. When ripe, the fruit has the texture and taste of chocolate, and can be used as a substitute in recipes or milkshakes. It also contains 4 times as much vitamin C as an orange.",
37,todayilearned,"TIL: Among the oldest companies in the world still in operation are - St. Peter Stifts Kulinarium, Austria (Restaurant, opened in 803), Monnaie de Paris, France (Mint, opened in 864), and Sean's Bar, Ireland (Pub, which claim to have been opened in 900)",
38,todayilearned,TIL that a large Shamrock Shake has more than 9x the amount of sugar as a glazed donut,
39,todayilearned,"TIL that 12pt Courier is the standard font for film script writing because it's a fixed-width font meaning letters have equal spaces between them, so 55 lines on a page equals about a minute of screen time",
40,todayilearned,TIL Arabs invaded Sicily for more than 200 years and that's why Sicilians have darker skin and black hair compared to the rest of Europe,
41,todayilearned,TIL Eşref Armağan is a naturally visually impaired Turkish man and was able to successfully portray models of objects he had not seen throughout his life by touching them with his fingertips. He is the first blind man who drew perspective art.,
42,todayilearned,"TIL: According to a new study, the placebo effect of 'tricking' the mind into thinking its been healed works even when the participants are told they are taking a placebo",
43,todayilearned,"TIL Shaun of the Dead (2004), Hot Fuzz (2007), and The World's End (2013) are known as 'The Three Flavors of Cornetto Trilogy"" written and directed by Edgar Wright. Each Cornetto flavor (color) represents the themes: Red = blood/gore (Shaun), Blue = cop movie (Fuzz), Green = sci/fi (World's End)",
44,todayilearned,"TIL the ""Cheerios effect"" is an interesting fluid dynamics phenomenon that happens in cereal bowls. When there are just a few bits of cereal left floating on top of the milk, they tend to cluster together in the middle or around the edges of the bowl, rather than dispersing across the surface.",
45,todayilearned,"TIL Nagasaki was the center of Japanese Catholicism and over 8,000 Catholics were among the 75,000 killed when a nuclear bomb was dropped over the city.",
46,todayilearned,"TIL that the quarantine flag, also called the “Yellow Jack”, is an international signal flag that was last flown during the 2002-03 SARS outbreak. The flag is flown from a ship that is either arriving in port with known serious health problems or that has been placed under quarantine.",
47,todayilearned,TIL that a wrong Statue of Liberty on a stamp cost the USPS $3.5 million.,
48,todayilearned,TIL kraftwerk have a phone that doesnt ring that they answer at a specific time,
49,todayilearned,"TIL Mantis shrimp can whack and crack a crab's claw with its hammer-like claws. It keeps doing this until its prey is smashed to pieces so that it can eat the inner flesh. The speed of the whack has been measured at 75 feet/sec, and the heat generated by this whack also stuns and kills its prey.",
50,todayilearned,"TIL the monkey face orchid, or scientifically, the Dracula simia, is a rare orchid which is native to the tropical cloud forests of Southeastern Ecuador and Peru and likes to live in elevations above 2,000 feet. Its fragrance can described as a ripe orange scent which it emits when it blooms.",
51,todayilearned,TIL: Clueless (film) is a modern re imagining of the Jane Austin Novel Emma,
52,todayilearned,"TIL that in the classic Kubrick film, Peter Sellers’ eccentric character Dr. Strangelove suffered from agonistic apraxia, or ""alien hand syndrome"". It's caused by damaging the corpus callosum—the nerve fibers that connect the brain's two hemispheres. It’s now often known as Dr. Strangelove Syndrome.",
53,todayilearned,Til indigenous people of mexico have only regained their pre-colonial population of 25 million this century,
54,todayilearned,"TIL In 2011 Toronto, ON installed bike lanes called Jarvis bike lanes at a cost of $59,000 CAD, but shortly after election in 2012 Mayor Rob Ford ordered the lanes removed at a cost of $200,000 CAD.",
55,todayilearned,TIL ardent defender of slavery John Rutledge attempted to commit suicide by drowning after the Senate rejected his appointment as Chief Justice. Two slaves saved his life and he lived 5 more years,
56,todayilearned,TIL angler fish interestingly begin reproduction with the typically larger female absorbing the smaller male into its body. The two share a circulatory system; the male receives nutrients from the female; and the male internally provides sperm to the female. One female often fuses with many males.,
57,todayilearned,"TIL about Limerence, an emotional and psychological obsession to have a relationship with someone (called Limerent Object) and suffer uncontrollable fantasies and seeing signs of interest where there are none",
58,todayilearned,"TIL that the National Art Gallery of Australia holds a monthly 'Sensory Sunday' where people on the autism spectrum, those with social anxiety and other neuro diverse folk can visit works of art in a more relaxed environment",
59,todayilearned,"TIL while Benjamin Franklin was in Paris during the American Revolution, his secretary was a British spy. The spy used the cover of weekly letters about “gallantry” (exploits with women). He would write in-between the lines in a special ink and leave the letter in a dead drop every Tuesday night.",
60,todayilearned,TIL that some farmers in Bangladesh are now raising ducks instead of chicken because ducks can float during floods.,
61,todayilearned,"TIL of 'Taco Rice' an Tex-Mex inspired Okinawan dish consisting of taco flavored hamburger meat on top of white rice along with cheese, lettuce, and tomatoes.",
62,todayilearned,"TIL 35mm film has a digital equivalent of 6K resolution, while 70mm film has the digital equivalent of 12K resolution",
63,todayilearned,TIL that 100 percent of Florida’s orange trees are infected with a deadly fungus and face extinction.,
64,todayilearned,"TIL that La Paz, Bolivia, uses aerial gondolas for city transportation instead of subways or streetcars.",
65,todayilearned,"TIL that Alexander Graham Bell, inventor of the telephone, developed the first metal detector in an attempt to locate a bullet lodged inside President James Garfield after he was shot in 1881. The machine failed, in part, due to interference caused by steel wires in the president's bed mattress.",
66,todayilearned,"TIL: About Aerogel, an insulator up to R-30 per inch, or the equivalent of 10 inches of fiberglass insulation. It's been used on the Mars Rover. It's also more expensive than gold by weight.",
67,todayilearned,TIL that importing horses was banned in Iceland in 982 by the Vikings. The ban has never been lifted.,
68,todayilearned,TIL that the Deathwatch Beetle loses an average of 13.5% of its body mass in a single ejaculation.,
69,todayilearned,"TIL that button, cremini and portobello are all the same mushroom in different stages of growth.",
70,todayilearned,TIL Ukrainian Petro Prokopovych is considered the founder of commercial beekeeping for his invention of a hive frame and a crude queen excluder between brood and honey chambers,
71,todayilearned,"TIL about the Overton window, which defines what political ideas the mainstream sees as radical according to what they're used to, even if they are not in fact radical.",
72,todayilearned,"TIL that Jerry Lee Lewis was once arrested outside Graceland, drunk with a loaded gun.",
73,todayilearned,"TIL that despite being the 20th longest river in world, the Yukon River only has 4 vehicle-carrying bridges spanning it.",
74,todayilearned,TIL: Indiana liquor stores can't sell refrigerated water or soda. The law specifies that they should be in the exclusive business of selling adult beverages and that any water or soda sold needs to be room temperature.,
75,todayilearned,"TIL of the Great Smog of London. In 1952, several days of intense smog that killed thousands and sickened 100,000.",
76,todayilearned,TIL that during WW1 on Italian front both Italians and Austrians deliberately fired artillery shells into mountain snowpacks to try to cause avalanches to bury opposite side,
77,todayilearned,"TIL in 1556, the deadliest earthquake in recorded history struck Shensi province in China, killing about 830,000 people.",
78,todayilearned,[TIL] Michael Jackson beatboxed and hummed out all his music into recorders as part of his creative process because he didn't play any instruments.,
79,todayilearned,"TIL about Stendhal Syndrome, a psychological reaction to seeing something incredibly beautiful. It has been observed in tourists visiting the Uffizi Gallery in Florence, many of whom experience palpitations, dizziness, and even fainting.",
80,todayilearned,"TIL to reconstruct the Great Pyramid of Giza today, it would require about $5 billion, 5 years, 1,500 to 2,000 workers, and 2.3 million stones weighing 3 tons each, according to Jean-Pierre Houdin, a French architect who has helped create a virtual model of the ancient construction system.",
81,todayilearned,"TIL “Our local group alone is 10 million light-years in diameter, containing the Milky Way and Andromeda galaxies, along with about 50 dwarf galaxies, but that only accounts for 0.00000000001 percent of the observable universe.”",
82,todayilearned,"TIL of Brewdog Brewery who serves the worlds strongest beer out of dead animals. It was created in 2010 with an initial batch of 12, the beer is 55% alcohol and has a price tag of 500-700 euros and comes in a dead animal.",
83,todayilearned,"TIL that some ""Negative Ion"" products may contain varying minerals from volcanic ash and titanium to less familiar ones such as tourmaline, zeolite, germanium and monazite sand. They may also contain naturally occurring radioactive elements, including uranium and thorium.",
84,todayilearned,"TIL That Scarlett Johansson , Vin Diesel, Kiefer Sutherland, Ashton Kutcher, and Rami Malek all have twin siblings",
85,todayilearned,"TIL the maned wolf (Chrysocyon brachyurus) is the largest canid of South America. It is neither a fox nor a wolf. It is the only species in the genus Chrysocyon which literally means ""golden dog"", and it communicates mainly by scent markings and a kind of ""roar-barking."" Its urine smells like weed.",
86,todayilearned,TIL That they have run the famous Breakman's Dilemma (focussing of automated cars) around the world and found that moral absolutes are neither always moral (depending on your culture) nor absolute.,
87,todayilearned,TIL Indiana was the last state to allow Coors to be sold owing to exclusive distributorship rules.,
88,todayilearned,TIL the directors of the film Despicable Me actually wrote their own language for the Minions called Minionise,
89,todayilearned,"TIL In 1824, Charles Macintosh, a Scottish chemist, invented the Mackintosh, one of the first waterproof fabrics ever made.",
90,todayilearned,"TIL Lillies are very dangerous to cats especially those in the ""daylily"" and ""truelily"" family.",
91,todayilearned,"TIL of Carl Unthan (1848-1929), a Prussian violinist who was born without arms. At the age of 10, he taught himself to play the violin by strapping it to a stool. If he broke a string- he replaced it and tuned it using only his toes. He was also a skilled marksman, operating a rifle with his feet.",
92,todayilearned,"TIL That the first sci-fi story was arguably written in 2nd century Rome--it included space travel via a flying ship, battles between alien armies, and visiting various civilizations throughout the galaxy",
93,todayilearned,"TIL that Tetilla, a Galician cheese with DOP recognition (specialty food products with specific origin), loosely translates to Little Tit. It's characterised by it's pear shaped cone and nipple top.",
94,todayilearned,"TIL that The Four Freedoms were goals articulated by United States President Franklin D. Roosevelt on Monday, January 6, 1941. In an address known as the Four Freedoms speech ), he proposed four fundamental freedoms that people ""everywhere in the world ought to enjoy:",
95,todayilearned,"TIL: Street pigeons (also known as feral pigeons) are descended from domesticated pigeons, not wild ones.",
96,todayilearned,TIL That Metallica Garage Inc generates so much in royalties that it became a de-facto pension plan for the artists covered,
97,todayilearned,"TIL the pronunciation of ""-ing"" as ""-in"" ( e.g. ""she was cleanin' "") is actually the original pronunciation, with the ""ing"" pronunciation having caught on later perhaps under influence of the spelling. The ""in"" pronunciation survives today in colloquial speech",
98,todayilearned,TIL that gravity is the only fundamental force that does not have a clear explanation at the quantum level. Sub-atomic particles like electrons can be used to explain the other three forces. The existence of a graviton particle is theorized but has yet to be proven.,
99,todayilearned,"TIL John Wilkes Booth wasn't really a lone gunman - he had 8 coconspirators who were convicted. And their plot was to kill not just Lincoln, but also the Vice President and Secretary of State.",
100,todayilearned,"TIL Larry Tesler was working at Xerox Palo Alto Research Center (PARC) when he first implemented Copy &amp; Paste in the mid 70s with Tim Mott. Tesler then left PARC to join Apple in 1980. His reason was Apple had clearly gotten the idea of computers, while Xerox still thought itself a copier company.",
101,todayilearned,"TIL Thomas Jefferson spoke English, French, Latin, could read Greek and Spanish, studied and wrote on Old English, and studied other languages including German, Arabic, Irish, and Welsh.",
102,todayilearned,"TIL Skepticism is the longest typed word on the typewriter (or any keyboard )in which you alternate hands every letter and the word typewriter, is one of the longest words able to be typed using one row of letters.",
103,todayilearned,"TIL that Ali Maow Maalin, the last person infected with naturally occurring smallpox, was later a leading volunteer in the successful effort to eradicate polio from Somalia.",
104,todayilearned,"TIL that Noshir Gowandia, one of the prinicipal designers of the B-2 bomber is serving time for espionage.",
105,todayilearned,TIL seven members of the 82nd Airborne Division were charged with appearing on military-themed gay porn,
106,todayilearned,TIL that cow tipping is an urban legend,
107,todayilearned,"TIL Constance Markievicz was sentenced to ""death by being shot"" after Ireland's 1916 Easter Rebellion, but was spared ""solely and only on account of her sex."" Her sentence was reduced to life, but she was released after a year. She became Minister of Labour and the first woman elected to Parliament.",
108,todayilearned,"TIL Irish people drink more tea than the British. And while India and China produce most of the world's tea, neither of them is in the top 10 tea drinking countries.",
109,todayilearned,"TIL: The disease 'Cocoliztli' killed an estimated 5-15 million Aztecs (~75 of the population) from 1520 to 1576 in present day Mexico. Its symptoms resembled that of Ebola and other viral hemorrhagic fevers. To date, the exact identity and source of the disease have never been identified.",
110,todayilearned,"TIL That Singapore gained its independence upon being expelled from Malaysia over racial tensions between the Chinese and Malays, making it the only modern sovereign state to receive independence involuntarily",
111,todayilearned,TIL there is no such thing as a healthy tan according to the American Skin Association.,
112,todayilearned,TIL Iguanas turn black when they’re going through severe or psychosocial stress.,
113,todayilearned,TIL that some deaf people that develop Schizophrenia can have auditory hallucinations and ‘hear’ voices,
114,todayilearned,"TIL Peter Sellers lines in the classic flick Dr Strangelove were mostly improvised by Sellers on the set, including the spontaneous uncontrollable Nazi salute. Kubrick then included the lines in the official screenplay via retroscripting. The character was based on former Nazi Wernher von Braun",
115,todayilearned,TIL that Anytime Fitness is the first franchised company to have locations on all 7 continents including Antarctica.,
116,todayilearned,TIL Hasbro owns Death Row Records,
117,todayilearned,TIL Twin Peaks actress Joan Chen was discovered on a Shanghai shooting range by Mao's wife and Gang of Four member Jiang Qing. Qing noticed the 14 year old Chen's excellent marksmanship and decided to send her to a training program for actors at a Shanghai studio,
118,todayilearned,"TIL a circle is used to represent a city on a map since early maps would draw small bird's-eye views of cities, and walled cities during that time were usually circular. Eventually the drawing was dropped and only the circular outline remained.",
119,todayilearned,"TIL the St. Brice's Day massacre resulted from King Æthelred the Unready's order to kill the Danes in England. This provoked an invasion, which eventually led to the accession of the Danish King Cnut.",
120,todayilearned,"TIL of August Natterer, who, on April Fool's Day 1907, had a pivotal hallucination of the Doomsday, during which ""10,000 images flashed by in half an hour"". He spent the rest of his life in a mental institution, where he became a prolific painter, attempting to capture his hallucination.",
121,todayilearned,TIL The actor Robert Foulk also worked as an architectural draftsman because he found it a good therapy for the tensions that built up while acting.,
122,todayilearned,"TIL that in 1969, Candid Camera host Allen Funt was on a plane that was hijacked by two men demanding passage to Cuba. The passengers, having spotted Funt, believed the situation to be a hidden camera prank. He could not convince them otherwise until the plane actually landed in Cuba.",
123,todayilearned,"TIL During President Kim Il-sung’s visit to Indonesia in 1965, President Sukarno showed Kim around the Bogor Botanical Gardens when the latter was smitten by an orchid. Sukarno promptly named the flower Kimilsungia and appointed it as the symbol of the eternal friendship between the two countries",
124,todayilearned,"TIL about the power of placebo. In a 2002 study spanning two years, people with osteoarthritis improved equally whether they were given knee surgery or tricked into thinking they received it.",
125,todayilearned,TIL learned that the Greek\Macedonian empire reached Pakistan\India,
126,todayilearned,"TIL the long-eared jerboa (Euchoreutes naso) is an extremely rare nocturnal rodent with a long tail, long hind legs for jumping, and exceptionally large ears. Endemic to southern Mongolia and northwestern China, it wasn't until 2007 that this creature was recorded on film for the first time.",
127,todayilearned,"TIL Field Marshal Gebhard Leberecht von Blücher, who played an important part in the Battle of Waterloo, and was instrumental in defeating Napoleon in 1814, suffered a mental breakdown during the war, lost his sight, and believed that a Frenchman had impregnated him with an elephant.",
128,todayilearned,"TIL After J. F. Kennedy was assissinated, his brain was stored in a locker at the national archives. After 3 years the brain went missing, and has never been seen since",
129,todayilearned,TIL All the Royal corgis are dead.,
130,todayilearned,"TIL: In 1976, Astrid Lindgren, the author of Pippi Longstocking, discovered that due to how Swedish tax laws were structured at the time, she had to pay 102% of her income in taxes.",
131,todayilearned,"TIL of the National Film Registry, a selection of movies deemed ""culturally, historically or aesthetically significant"" and has earned preservation by the Library of Congress.",
132,todayilearned,TIL The movie Fargo wasn't based on a true story at all.,
133,todayilearned,"TIL that one night in Ontario, 1978, two men with balaclavas and guns approached a restaurant. The manager saw them coming, but, unfazed, yelled: ""Sorry, we're closed"" and went back to mopping. The confused robbers fled and were apprehended. At appeal they were found not guilty of attempted robbery.",
134,todayilearned,"TIL that, while there have been reports of python snakes killing people since the early 20th century, the first documented case of a python eating a human happened in 2017.",
135,todayilearned,"TIL - During World War II, at the urging of the US government, actress Veronica Lake changed her signature hairstyle because women working in war time machine shops were often injured when their long hair became tangled in machinery.",
136,todayilearned,TIL Instagram only had 13 employees when Facebook bought it for close to one billion dollars in 2012,
137,todayilearned,"TIL 1986’s Venus, by Bananarama, was a remake of a 1969 song by Shocking Blue",
138,todayilearned,"TIL about Second Lieutenant Vladimir Kotlinsky of the Russian Imperial Army, who led a charge against the Germans after an attack with chlorine gas on WWI, while his and his men bodies were dissolving because of the chemicals action on their flesh",
139,todayilearned,"TIL: An affair between two Brazilian politicians was revealed when they danced together to ""Bésame Mucho"". Later, one of them was to be introduced with a military march, but the director of the presidential band had them play ""Bésame Mucho"" instead. He got 3 days of house arrest for insubordination.",
140,todayilearned,TIL actress Nicki Clyne left the series Battlestar Galactica to work on Allison Mack's sex cult full time,
141,todayilearned,"TIL in the original story of Peter Pan, the Lost Boys do age, even in Neverland. The reason the group is always made up of children is because if they don't die by other means (which is common), Peter ""thins them out."" The author never clarifies whether this means they're executed or banished.",
142,todayilearned,TIL Fiancé refers to a Male &amp; Fiancée refers to a female,
143,todayilearned,"TIL that the sound of the sand people in Star Wars, or Tusken Raiders was made by deepening and varying the speed of braying donkeys.",
144,todayilearned,"TIL Bryan Cranston was ordained as a minister by the Universal Life Church, and performed weddings for $150 a service to help with his income in the initial days of his career.",
145,todayilearned,"TIL in 2014 an Oregon couple sold their mattress, not knowing that their cat had snuck inside it to take a nap. The cat was missing for 10 days before it was finally reunited with its owners.",
146,todayilearned,TIL in 1980 a Jean Hilliard had a car accident. She walked 2 miles (3.2 km) in freezing weather to her friends house and collapsed 15 feet (4.6 m) away from the door. The temperature dropped to −22 °F (−30 °C). She was found frozen the next morning after spending 6 hours as a popsicle. She survived.,
147,todayilearned,"TIL Married With Children never had canned laughter. They used only original laughter, applause, shouts etc. that came from the viewers while the series was filmed in front of them. Sometimes the audience had to be shut down for the show to continue.",
148,todayilearned,"TIL: The first anti-discrimination law passed in the United States, was an Alaskan law to help protect Alaskan Natives, 20 years before the passage of the Civil Rights Act of 1964.",
149,todayilearned,"TIL Charles Lindbergh was a noted Anti-Semite who was a spokesman for the America First committee and who resigned his commission from the Air Force after FDR spoke against him. After the Attack on Pearl Harbor, he tried to rejoin the Air Force but was banned per Roosevelt's orders.",
150,todayilearned,TIL the last US President to fluently speak a foreign language was FDR (French and German).,
151,todayilearned,TIL Four dolphins died after a 4 month hunger strike at a Montreal aquarium in 1980.,
152,todayilearned,"TIL Pooping during a natural birth might help babies develop their microbiome, the bacteria that lives on and in people, which helps with everything from digestion to being able to fight off colds. Newborn babies do not have microbiomes. It's nothing to be embarrassed about.",
153,todayilearned,TIL that in any set of numbers there's a 30% chance the first digit will be '1',
154,todayilearned,"TIL: NYC subway's signal technology is nearly a century old, and signal operators don't know precisely where each car is on the tracks at any given time.",
155,todayilearned,TIL India requires manufacturers to set a fixed price on their products to prevent stores from overcharging.,
156,todayilearned,"TIL High heels were first used by Persian calvary. Owning horses was expensive, so to wear heels implied the wearer had significant wealth. Europe caught on and was used to imply their upper-class status. Authorities even began regulating the length of a high heel's point according to social rank.",
157,todayilearned,"TIL that alligator penises are always erect and can ""shoot out from inside the animal’s body and then bounce back like a rubber band.""",
158,todayilearned,TIL a cat named Moon Unit disappeared from a London New Year’s Eve party in 2007 and was found eight years later—in Paris.,
159,todayilearned,"TIL some of the most successful films of all time, such as the Harry Potter series, were actually financial losses on paper. This is called creative accounting and it's a way for Hollywood studios to avoid paying actors, producers and directors based on net profits.",
160,todayilearned,"TIL Elvis won only 3 Grammy awards in his career, all for gospel music. He never won for rock, pop, or R&amp;B.",
161,todayilearned,"TIL that in addition to being red/green colorblind, cats are also nearsighted, lacking the muscles to focus their eyes on faraway objects. However they can see ultraviolet light.",
162,todayilearned,TIL The Democratic Kampuchea period of 1975-1979 saw the closure and destruction of schools in Cambodia. During this period Phnom Penh University and all other educational institutions were closed and education was perceived as a dangerous asset,
163,todayilearned,"TIL the US Military is developing Bomb Sniffing Cyborg Locusts. Since 2016, Researchers at Washington University have attempted to implant locusts with cybernetic enhancements that allow them to be remotely piloted, use their antennae to detect explosives, and wirelessly relay that information back.",
164,todayilearned,"TIL that the most expensive music video ever made was Michael Jackson's ""Scream"" (1995). It cost $7 million and is listed in the Guinness World Records",
165,todayilearned,TIL that the first person to reach the geographical North Pole may actually have been an African American named Matthew Henson.,
166,todayilearned,TIL a woman married a guest at her wedding after the groom had a seizure,
167,todayilearned,"TIL about John Howard Griffin, who is best known for his project to temporarily pass as a black man and journey through the Deep South of 1959 to see life and segregation from the other side of the color line.",
168,todayilearned,TIL that all lakes in the state of Maryland are man-made,
169,todayilearned,TIL: Knight Rider was conceived as a cross between The Lone Ranger &amp; HAL from 2001 a Space Odyssey.,
170,todayilearned,"TIL legendary sci-fi author Harlan Ellison, as part of a dispute about fulfillment of a contract, once mailed 213 bricks to a publisher and made them pay for it. He also mailed them a dead gopher in fourth-class mail.",
171,todayilearned,TIL that the Haida Peoples were known as the “Indian Vikings of the North West Coast” and would often lead 60+ men war canoes on raids to enslave neighbouring tribes,
172,todayilearned,TIL former KISS guitar player Vinnie Vincent wrote songs for the TV shows Happy Days and Joanie Loves Chachi.,
173,todayilearned,"TIL in 1925 Alves dos Reis perpetrated one of the largest frauds in history, introducing £1,007,963 of fake escudos into the Portuguese economy (now £57.9 million). The resulting crisis has been credited with with ushering in the Estado Novo (the longest authoritarian regime in Western Europe)",
174,todayilearned,"TIL about the Hopi tribe prophecies and ending of the present 4th world is near, many believing the 5th world coming mite not be apocalyptic, but more of ""a time of peace for humanity and pristine harmony with Mother Nature"". The 1rst world was destroyed by fire, 2nd by ice, 3rd by deluge(flood)",
175,todayilearned,"TIL the hottest known chemical flame is produced by burning dicyanoacetylene with ozone; at 6,100 K (5,827 C, 10,520 F), it is hotter than the surface of the Sun (5,778 K).",
176,todayilearned,TIL of a teen with selective eating disorder that ate nothing but ramen noodles for 13 years straight.,
177,todayilearned,"TIL that not only did Bob the Builder have a parody of Mambo No. 5, but it also reached number 1 in the UK Singles chart.",
